Index,Name,Sentance,nextIndex,GuideAnimation,ObjAnimation,,,,,,,,,,,,,,,,,,,,
0,里長,你好呀!年輕人,1,10001,10001,,0=null(dark),,,,,,,,,,,,,,,,,,
1,我,是里長! 里長好~,2,10001,10001,,1=focusWater/Spread,,,,,,,,,,,,,,,,,,
2,里長,聽說你回到故鄉種竹筍啦?,3,10001,10001,,2=focusClothes,,,,,,,,,,,,,,,,,,
3,里長,真不錯，這裡的竹筍最近發生了特殊的現象,4,10001,10001,,3=focusClock,,,,,,,,,,,,,,,,,,
4,里長,竹筍都變得很有特色跟故事呢!,5,10001,10001,,4=focusSettlement,,,,,,,,,,,,,,,,,,
5,里長,既然見面就是緣分,6,10001,10001,,5=focusStampSite,,,,,,,,,,,,,,,,,,
6,里長,那我來教妳一些種竹筍的方法吧!,7,10001,10001,,,,,,,,,,,,,,,,,,,,
7,里長,可看好囉!,8,10001,10001,,,,,,,,,,,,,,,,,,,,
8,里長,在布打開後得趕緊幫竹筍澆水施肥,9,1,10001,,,,,,,,,,,,,,,,,,,,
9,里長,喔!你看，有竹筍渴了,10,10001,0,出現water圖,,,,,,,,,,,,,,,,,,,
10,里長,這時後要在這張圖徹底變紅消失前澆水,11,10001,10001,,,,,,,,,,,,,,,,,,,,
11,,,12,10001,1,跑條，跑條結束/澆到水觸發對話,,,,,,,,,,,,,,,,,,,
12,里長,再來，竹筍需要施肥,13,10001,2,出現施肥圖,,,,,,,,,,,,,,,,,,,
13,里長,這次也一樣，在這張圖徹底變紅消失前施肥,14,10001,10001,,,,,,,,,,,,,,,,,,,,
14,,,15,10001,3,跑條，跑條結束/澆到水觸發對話,,,,,,,,,,,,,,,,,,,
15,里長,很好! 澆水施肥都結束了,16,0,10001,,,,,,,,,,,,,,,,,,,,
16,里長,接下來最重要的是什麼你知道嗎?,17,10001,10001,,,,,,,,,,,,,,,,,,,,
17,我,我知道!,18,10001,10001,,,,,,,,,,,,,,,,,,,,
18,我,"是 ""蓋布""!",19,2,10001,,,,,,,,,,,,,,,,,,,,
19,里長,沒錯!,20,10001,10001,,,,,,,,,,,,,,,,,,,,
20,里長,要在太陽出來前，好好的把布蓋上!,21,10001,10001,,,,,,,,,,,,,,,,,,,,
21,里長,不蓋布的話，先前的努力都白費了,22,10001,10001,,,,,,,,,,,,,,,,,,,,
22,里長,竹筍會全部苦掉壞掉喔!,23,10001,10001,,,,,,,,,,,,,,,,,,,,
23,里長,這邊的時鐘結束前趕緊把布蓋上吧!,10001,3,10001,,,,,,,,,,,,,,,,,,,,
24,里長,打開布看看今天竹筍長的如何吧!,25,2,10001,,,,,,,,,,,,,,,,,,,,
25,里長,嗯~ 每天都會種出六個竹筍喔!,26,10001,10001,,,,,,,,,,,,,,,,,,,,
26,里長,至於種出什麼就看你前一天的表現了!,27,10001,10001,,,,,,,,,,,,,,,,,,,,
27,里長,趕快來採竹筍吧!,28,10001,10001,,,,,,,,,,,,,,,,,,,,
28,,,29,10001,4,竹筍採收，結束後觸發對話,,,,,,,,,,,,,,,,,,,
29,里長,採完竹筍後，再把布蓋上喔!,10001,10001,10001,,,,,,,,,,,,,,,,,,,,
30,里長,採完竹筍後，這裡是分級場,31,10001,10001,,,,,,,,,,,,,,,,,,,,
31,里長,我們要在這裡幫竹筍歸類等級,32,10001,10001,,,,,,,,,,,,,,,,,,,,
32,里長,看到你右手邊的書了嗎?,33,10001,10001,,,,,,,,,,,,,,,,,,,,
33,里長,打開他，在箱子上的左右按鍵可以翻書,34,10001,10001,,,,,,,,,,,,,,,,,,,,
34,里長,找找你的竹筍是哪一級，然後按下對應按鈕吧!,35,10001,10001,,,,,,,,,,,,,,,,,,,,
35,里長,喔對!記得要把書關好，才可以分級喔!,10001,10001,10001,,,,,,,,,,,,,,,,,,,,
36,里長,太棒了!分級結束後，就來看看今天的成果吧,37,10001,10001,,,,,,,,,,,,,,,,,,,,
37,里長,這是報價單，上面有你今天的採收狀況,38,4,10001,,,,,,,,,,,,,,,,,,,,
38,里長,看完後，要記得按認一按鈕簽名喔!,10001,5,10001,,,,,,,,,,,,,,,,,,,,
